"Sites","Lat","Long","SSTmean_cont","SSTrange_cont","PrecMean_cont","PrecRange_cont","SSTmean_paleo","SSTrange_paleo","PrecMean_paleo","PrecRange_paleo"
"Cape_Agulhas",-34.83,20.01,17.8587174224854,7.70142462196351,514.426,49.5208000000003,16.0184614915114,5.83392306841337,531.9312,51.3800000000001
"Port_Alfred",-33.63,26.87,20.253124005127,6.56437765502929,590.2,24.94,20.9600708738286,4.65531914284889,631.6068,31.7527999999999
"Berg_river",-32.77,18.14,14.9798565303803,4.70730067443848,255.666,40,14.1435810359749,2.58885135602307,305.500400000001,50.4736
"Mouille_Point",-33.9,18.4,15.8927055549622,6.54974195480347,861.759999999991,115.869999999999,15.4038286263602,4.2759428521565,909.109999999997,130.899999999999
"Jacobs_Bay",-32.97,17.89,15.4329845668793,4.70621183204652,279.9644,49.82,14.6039449228059,2.79986238971763,320.3984,57.5644000000001
"Jacobs_Bay",-32.97,17.89,15.4329845668793,4.70621183204652,279.9644,49.82,14.6039449228059,2.79986238971763,320.3984,57.5644000000001
"Jacobs_Bay",-32.97,17.89,15.4329845668793,4.70621183204652,279.9644,49.82,14.6039449228059,2.79986238971763,320.3984,57.5644000000001
"Langebaan",-33.07,18.04,15.4576575164795,4.90573639984132,278.872800000001,45.0995999999998,14.5827419219478,2.85736559603804,329.431600000002,58.0332000000002
"Langebaan",-33.07,18.04,15.4576575164795,4.90573639984132,278.872800000001,45.0995999999998,14.5827419219478,2.85736559603804,329.431600000002,58.0332000000002
"Langebaan",-33.07,18.04,15.4576575164795,4.90573639984132,278.872800000001,45.0995999999998,14.5827419219478,2.85736559603804,329.431600000002,58.0332000000002
"Yzerfontein",-33.37,18.16,15.4789099983215,5.35735521850587,360.032000000001,54.18,14.8978571551187,3.22267857690652,421.781600000002,69.0200000000002
"Yzerfontein",-33.37,18.16,15.4789099983215,5.35735521850587,360.032000000001,54.18,14.8978571551187,3.22267857690652,421.781600000002,69.0200000000002
"Port_Nolloth",-29.25,16.87,14.4406804847717,5.40804735183716,73.0000000000003,10.5000000000001,13.3134027322133,4.10083334810204,93.5500000000001,16.91
"Port_Nolloth",-29.25,16.87,14.4406804847717,5.40804735183716,73.0000000000003,10.5000000000001,13.3134027322133,4.10083334810204,93.5500000000001,16.91
"Port_Nolloth",-29.25,16.87,14.4406804847717,5.40804735183716,73.0000000000003,10.5000000000001,13.3134027322133,4.10083334810204,93.5500000000001,16.91
"Hondeklip_Bay",-30.32,17.27,14.6814304008484,5.42212721672059,126.5264,23,13.5190625041723,3.76463542009393,155.590400000002,33.3084000000004
"Port_Nolloth",-29.25,16.87,14.4406804847717,5.40804735183716,73.0000000000003,10.5000000000001,13.3134027322133,4.10083334810204,93.5500000000001,16.91
"Jacobs_Bay",-32.97,17.89,15.4329845668793,4.70621183204652,279.9644,49.82,14.6039449228059,2.79986238971763,320.3984,57.5644000000001
"Port_Nolloth",-29.25,16.87,14.4406804847717,5.40804735183716,73.0000000000003,10.5000000000001,13.3134027322133,4.10083334810204,93.5500000000001,16.91
"Gansbaai",-34.58,19.34,17.1625573417664,6.71408381156921,549.396,55.5731999999999,15.9391892020767,5.49648648017162,579.6624,57.5863999999999
"Cape_Town",-33.91,18.43,15.9682761665344,6.54548405227661,827.180799999971,112.591599999997,15.4111046957415,4.32220929861069,922.914799999984,131.667999999998
"Haga_Haga",-32.77,28.23,22.3116626129151,6.24407363128661,890.558800000002,76.7227999999998,21.4824404716492,4.84839284420013,982.184800000007,88.8200000000004
"Breede_(Cape_Infanta)",-34.46,20.87,17.9337957122803,7.90075158729553,557.54,36,16.0900001525879,6.49500000476837,568.906799999999,37.0988000000001
"Mouille_Point",-33.9,18.4,15.8927055549622,6.54974195480347,861.759999999991,115.869999999999,15.4038286263602,4.2759428521565,909.109999999997,130.899999999999
"Mouille_Point",-33.9,18.4,15.8927055549622,6.54974195480347,861.759999999991,115.869999999999,15.4038286263602,4.2759428521565,909.109999999997,130.899999999999
"Kommetjie",-34.14,18.32,16.753950630188,6.59208466072083,867.1556,121.0068,15.6957940277624,4.5632188872718,859.196400000014,126.792800000002
"Kommetjie",-34.14,18.32,16.753950630188,6.59208466072083,867.1556,121.0068,15.6957940277624,4.5632188872718,859.196400000014,126.792800000002
"False_Bay",-34.24,18.66,16.7467242179871,6.74048820724487,NA,NA,15.7061957276386,4.92298912742864,641.615999999996,88.3191999999992
"Wooleys_Pool",-34.13,18.45,16.6724952125549,6.70046451187135,871.087999999995,118.739999999999,15.657087432528,4.6700000045369,922.181999999977,130.099999999996
"Wooleys_Pool",-34.13,18.45,16.6724952125549,6.70046451187135,871.087999999995,118.739999999999,15.657087432528,4.6700000045369,922.181999999977,130.099999999996
"Herolds_Bay",-34.06,22.4,18.1744619102478,7.32096569252015,671.400000000004,25.6000000000001,17.1688887278239,4.68222215440538,701.449999999991,46.4939999999985
"Rooiels",-34.3,18.81,16.8420754585266,6.68849772453308,691.324000000011,88.7820000000012,15.7414025271811,5.08548780476175,731.192000000016,91.0000000000012
"Rooiels",-34.3,18.81,16.8420754585266,6.68849772453308,691.324000000011,88.7820000000012,15.7414025271811,5.08548780476175,731.192000000016,91.0000000000012
"Rooiels",-34.3,18.81,16.8420754585266,6.68849772453308,691.324000000011,88.7820000000012,15.7414025271811,5.08548780476175,731.192000000016,91.0000000000012
"Bettys_Bay",-34.36,18.92,16.8544557571411,6.64212423324585,759.632800000005,91.6079999999999,15.7953416990197,5.18695651522334,781.518799999998,91.5171999999994
"Bettys_Bay",-34.36,18.92,16.8544557571411,6.64212423324585,759.632800000005,91.6079999999999,15.7953416990197,5.18695651522334,781.518799999998,91.5171999999994
"Bettys_Bay",-34.36,18.92,16.8544557571411,6.64212423324585,759.632800000005,91.6079999999999,15.7953416990197,5.18695651522334,781.518799999998,91.5171999999994
"Gansbaai",-34.58,19.34,17.1625573417664,6.71408381156921,549.396,55.5731999999999,15.9391892020767,5.49648648017162,579.6624,57.5863999999999
"Gansbaai",-34.58,19.34,17.1625573417664,6.71408381156921,549.396,55.5731999999999,15.9391892020767,5.49648648017162,579.6624,57.5863999999999
"Gansbaai",-34.58,19.34,17.1625573417664,6.71408381156921,549.396,55.5731999999999,15.9391892020767,5.49648648017162,579.6624,57.5863999999999
"Gansbaai",-34.58,19.34,17.1625573417664,6.71408381156921,549.396,55.5731999999999,15.9391892020767,5.49648648017162,579.6624,57.5863999999999
"Gansbaai",-34.58,19.34,17.1625573417664,6.71408381156921,549.396,55.5731999999999,15.9391892020767,5.49648648017162,579.6624,57.5863999999999
"Gansbaai",-34.58,19.34,17.1625573417664,6.71408381156921,549.396,55.5731999999999,15.9391892020767,5.49648648017162,579.6624,57.5863999999999
"Cape_Agulhas",-34.83,20.01,17.8587174224854,7.70142462196351,514.426,49.5208000000003,16.0184614915114,5.83392306841337,531.9312,51.3800000000001
"Cape_Agulhas",-34.83,20.01,17.8587174224854,7.70142462196351,514.426,49.5208000000003,16.0184614915114,5.83392306841337,531.9312,51.3800000000001
"Cape_Agulhas",-34.83,20.01,17.8587174224854,7.70142462196351,514.426,49.5208000000003,16.0184614915114,5.83392306841337,531.9312,51.3800000000001
"Cape_Agulhas",-34.83,20.01,17.8587174224854,7.70142462196351,514.426,49.5208000000003,16.0184614915114,5.83392306841337,531.9312,51.3800000000001
"Cape_Agulhas",-34.83,20.01,17.8587174224854,7.70142462196351,514.426,49.5208000000003,16.0184614915114,5.83392306841337,531.9312,51.3800000000001
"Knysna",-34.09,23.09,18.2799464904785,6.87773188591004,872.240000000004,28,17.5623528723623,4.4380391812792,896.209199999993,44.106799999999
"Still_Bay",-34.37,21.44,18.0121215438843,7.6003200149536,500.121999999997,30.5999999999994,16.3666667938232,5.07333326339722,518.901999999997,27.9267999999993
"Still_Bay",-34.37,21.44,18.0121215438843,7.6003200149536,500.121999999997,30.5999999999994,16.3666667938232,5.07333326339722,518.901999999997,27.9267999999993
"Hondeklip_Bay",-30.32,17.27,14.6814304008484,5.42212721672059,126.5264,23,13.5190625041723,3.76463542009393,155.590400000002,33.3084000000004
"Jacobs_Bay",-32.97,17.89,15.4329845668793,4.70621183204652,279.9644,49.82,14.6039449228059,2.79986238971763,320.3984,57.5644000000001
"Hondeklip_Bay",-30.32,17.27,14.6814304008484,5.42212721672059,126.5264,23,13.5190625041723,3.76463542009393,155.590400000002,33.3084000000004
"Hondeklip_Bay",-30.32,17.27,14.6814304008484,5.42212721672059,126.5264,23,13.5190625041723,3.76463542009393,155.590400000002,33.3084000000004
